title,audience_score,type,genre,runtime,year,mpaa_rating,studio,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url,imdb_id
"The Adventures of Priscilla, Queen of the Desert",88,Feature Film,Drama,104,1994,R,Fox Home Entertainment,34721,93,Fresh,no,no,no,no,no,no,Upright,Stephan Elliott,Terence Stamp,Hugo Weaving,Guy Pearce,Bill Hunter,Sarah Chadwick,http://www.imdb.com/title/tt0109045/,http://www.rottentomatoes.com/m/adventures_of_priscilla_queen_of_the_desert/,109045
A Bronx Tale,93,Feature Film,Drama,121,1993,R,HBO Video,92985,96,Fresh,no,no,yes,no,no,no,Upright,Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato Jr.,Francis Capra,Taral Hicks,http://www.imdb.com/title/tt0106489/,http://www.rottentomatoes.com/m/bronx_tale/,106489
Mars Attacks!,53,Feature Film,Action & Adventure,106,1996,PG-13,Warner Home Video,162357,52,Rotten,no,no,yes,no,no,no,Spilled,Tim Burton,Jack Nicholson,Glenn Close,Annette Bening,Pierce Brosnan,Martin Short,http://www.imdb.com/title/tt0116996/,http://www.rottentomatoes.com/m/mars_attacks/,116996
Held Up,43,Feature Film,Comedy,89,1999,PG-13,Trimark,2772,17,Rotten,no,no,yes,no,no,no,Spilled,Steve Rash,Jamie Foxx,Nia Long,Barry Corbin,John Cullum,Jake Busey,http://www.imdb.com/title/tt0165831/,http://www.rottentomatoes.com/m/held_up/,165831
Electric Slide,24,Feature Film,Drama,95,2014,R,Paragon Pictures,370,14,Rotten,no,no,no,no,no,no,Spilled,Tristan Patterson,Jim Sturgess,Chloe Sevigny,Isabel Lucas,Patricia Arquette,Vinessa Shaw,http://www.imdb.com/title/tt0835775/,http://www.rottentomatoes.com/m/electric_slide/,835775
Punisher: War Zone,42,Feature Film,Drama,103,2008,R,Lionsgate,45735,27,Rotten,no,no,no,no,no,no,Spilled,Lexi Alexander,Ray Stevenson,Dominic West,Dash Mihok,Julie Benz,Wayne Knight,http://www.imdb.com/title/tt0450314/,http://www.rottentomatoes.com/m/punisher_war_zone/,450314
Madea Goes to Jail,70,Feature Film,Drama,103,2009,PG-13,Lionsgate,9301,29,Rotten,no,no,no,no,no,no,Upright,Tyler Perry,Tyler Perry,Derek Luke,Keshia Knight Pulliam,Ion Overman,Sofia Vergara,http://www.imdb.com/title/tt1142800/,http://www.rottentomatoes.com/m/madea-goes-to-jail/,1142800
Prey for Rock & Roll,63,Feature Film,Other,104,2003,R,Mac Releasing,1719,55,Rotten,no,no,no,no,no,no,Upright,Alex Steyermark,Gina Gershon,Drea de Matteo,Lori Petty,Shelly Cole,Marc Blucas,http://www.imdb.com/title/tt0307351/,http://www.rottentomatoes.com/m/prey_for_rock_and_roll/,307351
Son of the Mask,15,Feature Film,Science Fiction & Fantasy,94,2005,PG,New Line Cinema,37849,6,Rotten,no,no,no,no,no,no,Spilled,Lawrence Guterman,Jamie Kennedy,Alan Cumming,Bob Hoskins,Traylor Howard,Ben Stein,http://www.imdb.com/title/tt0362165/,http://www.rottentomatoes.com/m/son_of_the_mask/,362165
Anna Karenina,50,Feature Film,Drama,129,2012,R,Focus Features,64824,63,Fresh,no,no,no,no,no,no,Spilled,Joe Wright,Keira Knightley,Jude Law,Aaron Taylor-Johnson,Matthew MacFadyen,Domhnall Gleeson,http://www.imdb.com/title/tt1781769/,http://www.rottentomatoes.com/m/anna_karenina_2012/,1781769
Cars,80,Feature Film,Action & Adventure,117,2006,G,Buena Vista,237649,74,Certified Fresh,no,no,yes,no,no,yes,Upright,John Lasseter,Owen Wilson,Paul Newman,Bonnie Hunt,Larry The Cable Guy,Cheech Marin,http://www.imdb.com/title/tt0317219/,http://www.rottentomatoes.com/m/cars/,317219
Tiny Furniture,55,Feature Film,Comedy,98,2010,Unrated,IFC,10926,79,Certified Fresh,no,no,no,no,no,no,Spilled,Lena Dunham,Lena Dunham,Laurie Simmons,Grace Dunham,Rachel Howe,Alex Karpovsky,http://www.imdb.com/title/tt1570989/,http://www.rottentomatoes.com/m/tiny_furniture-2009/,1570989
Stand Up Guys,46,Feature Film,Drama,95,2012,R,Lionsgate,42906,38,Rotten,no,no,yes,no,no,no,Spilled,Fisher Stevens,Al Pacino,Christopher Walken,Alan Arkin,Julianna Margulies,Addison Timlin,http://www.imdb.com/title/tt1389096/,http://www.rottentomatoes.com/m/stand_up_guys/,1389096
Lost River,41,Feature Film,Mystery & Suspense,95,2014,R,Warner Bros. Pictures,8461,30,Rotten,no,no,no,no,no,no,Spilled,Ryan Gosling,Christina Hendricks,Saoirse Ronan,Iain De Caestaecker,Eva Mendes,Rob Zabrecky,http://www.imdb.com/title/tt2366608/,http://www.rottentomatoes.com/m/lost_river_2015/,2366608
Renaldo and Clara,70,Feature Film,Drama,235,1978,R,NA,386,40,Rotten,no,no,no,no,no,no,Upright,Bob Dylan,Bob Dylan,Jack Elliott,Joan Baez,Ronnie Hawkins,Sara Dylan,http://www.imdb.com/title/tt0078151/,http://www.rottentomatoes.com/m/renaldo_and_clara/,78151
The Transformers: The Movie,88,Feature Film,Other,84,1986,PG,De Laurentiis Entertainment Gr,30872,53,Rotten,no,no,no,no,no,no,Upright,Nelson Shin,Eric Idle,Gregg Berger,Jack Angel,Judd Nelson,Leonard Nimoy,http://www.imdb.com/title/tt0092106/,http://www.rottentomatoes.com/m/transformers_the_the_movie/,92106
The Drowning Pool,50,Feature Film,Drama,108,1975,PG,WARNER BROTHERS PICTURES,3248,50,Rotten,no,no,yes,yes,no,no,Spilled,Stuart Rosenberg,Paul Newman,Joanne Woodward,Anthony Franciosa,Murray Hamilton,Gail Strickland,http://www.imdb.com/title/tt0072912/,http://www.rottentomatoes.com/m/drowning_pool/,72912
The Taking of Pelham One Two Three,88,Feature Film,Drama,104,1974,R,United Artists,18793,100,Fresh,no,no,no,no,no,no,Upright,Joseph Sargent,Walter Matthau,Robert Shaw,Martin Balsam,Hector Elizondo,Earl Hindman,http://www.imdb.com/title/tt0072251/,http://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three/,72251
Trial and Error,30,Feature Film,Comedy,98,1997,PG-13,New Line Home Entertainment,5119,43,Rotten,no,no,no,yes,no,no,Spilled,Jonathan Lynn,Michael Richards,Jeff Daniels,Charlize Theron,Alexandra Wentworth,Jessica Steen,http://www.imdb.com/title/tt0120373/,http://www.rottentomatoes.com/m/1077494-trial_and_error/,120373
Night of the Creeps,70,Feature Film,Horror,88,1986,R,TriStar Pictures,13613,69,Fresh,no,no,no,no,no,no,Upright,Fred Dekker,Jason Lively,Steve Marshall,Jill Whitlow,Tom Atkins,Wally Taylor,http://www.imdb.com/title/tt0091630/,http://www.rottentomatoes.com/m/night_of_the_creeps/,91630
In Her Shoes,66,Feature Film,Drama,130,2005,PG-13,20th Century Fox,49856,75,Certified Fresh,no,no,no,yes,no,no,Upright,Curtis Hanson,Cameron Diaz,Toni Collette,Shirley MacLaine,Mark Feuerstein,Ken Howard,http://www.imdb.com/title/tt0388125/,http://www.rottentomatoes.com/m/in_her_shoes/,388125
Dracula A.D. 1972,41,Feature Film,Other,96,1972,PG,Warner Bros. Pictures,3412,25,Rotten,no,no,no,no,no,no,Spilled,Alan Gibson,Stephanie Beacham,Marsha Hunt,David Andrews,Lally Bowers,Janet Key,http://www.imdb.com/title/tt0068505/,http://www.rottentomatoes.com/m/dracula_ad_1972/,68505
Larry the Cable Guy: Health Inspector,51,Feature Film,Comedy,89,2006,PG-13,Lions Gate Films,9033,5,Rotten,no,no,no,no,no,no,Spilled,Trent Cooper,Larry The Cable Guy,Iris Bahr,Bruce Bruce,Joanna Cassidy,Brooke Dillman,http://www.imdb.com/title/tt0462395/,http://www.rottentomatoes.com/m/larry_the_cable_guy_health_inspector/,462395
Only God Forgives,37,Feature Film,Drama,90,2013,R,Radius-TWC,76507,40,Rotten,no,no,no,no,no,no,Spilled,Nicolas Winding Refn,Luke Evans,Yayaying,Kristin Scott-Thomas and Rowan Atkinson,Ryan Gosling,Kristin Scott Thomas,http://www.imdb.com/title/tt1602613/,http://www.rottentomatoes.com/m/only_god_forgives_2013/,1602613
The Brood,68,Feature Film,Science Fiction & Fantasy,92,1979,R,NA,16708,78,Fresh,no,no,no,no,no,no,Upright,David Cronenberg,Oliver Reed,Samantha Eggar,Art Hindle,Cindy Hinds,Henry Beckman,http://www.imdb.com/title/tt0078908/,http://www.rottentomatoes.com/m/brood/,78908
Jack Frost,39,Feature Film,Drama,101,1998,PG,Warner Bros. Pictures,22608,20,Rotten,no,no,no,no,no,no,Spilled,Troy Miller,Michael Keaton,Kelly Preston,Mark Addy,Joseph Cross,Henry Rollins,http://www.imdb.com/title/tt0141109/,http://www.rottentomatoes.com/m/1090089-jack_frost/,141109
Secret of the Wings,78,Feature Film,Action & Adventure,75,2012,G,Walt Disney Pictures,7323,58,Rotten,no,no,no,no,no,no,Upright,Bobs Gannaway,Mae Whitman,Anjelica Huston,Lucy Hale,Raven,Lucy Liu,http://www.imdb.com/title/tt1217213/,http://www.rottentomatoes.com/m/secret_of_the_wings/,1217213
I Am a Sex Addict,57,Feature Film,Documentary,98,2005,R,IFC First Take,2918,63,Fresh,no,no,no,no,no,no,Spilled,Emily Morse,Caveh Zahedi,Rebecca Lord,Emily Morse,Amanda Henderson,Olia Natasha,http://www.imdb.com/title/tt0428649/,http://www.rottentomatoes.com/m/i_am_a_sex_addict/,428649
Death Wish 3,55,Feature Film,Action & Adventure,92,1985,R,MGM Home Entertainment,9402,6,Rotten,no,no,no,no,no,no,Spilled,Michael Winner,Charles Bronson,Deborah Raffin,Ed Lauter,Martin Balsam,Gavan O'Herlihy,http://www.imdb.com/title/tt0089003/,http://www.rottentomatoes.com/m/death_wish_3/,89003
Evening,48,Feature Film,Drama,117,2007,PG-13,Focus Features,11339,27,Rotten,no,no,no,no,no,no,Spilled,Lajos Koltai,Claire Danes,Toni Collette,Vanessa Redgrave,Patrick Wilson,Hugh Dancy,http://www.imdb.com/title/tt0765447/,http://www.rottentomatoes.com/m/evening/,765447
Cape Fear,77,Feature Film,Mystery & Suspense,128,1991,R,MCA/Universal Pictures,119535,76,Certified Fresh,no,no,yes,yes,yes,no,Upright,Martin Scorsese,Robert De Niro,Nick Nolte,Jessica Lange,Juliette Lewis,Joe Don Baker,http://www.imdb.com/title/tt0101540/,http://www.rottentomatoes.com/m/1037581-cape_fear/,101540
Peggy Sue Got Married,55,Feature Film,Drama,103,1986,PG-13,Twentieth Century Fox Home Entertainment,26014,85,Fresh,no,no,yes,no,yes,no,Spilled,Francis Ford Coppola,Kathleen Turner,Nicolas Cage,Barry Miller,Catherine Hicks,Joan Allen,http://www.imdb.com/title/tt0091738/,http://www.rottentomatoes.com/m/peggy_sue_got_married/,91738
Castaway,73,Feature Film,Drama,117,1986,R,Cannon Group,2434,100,Fresh,no,no,no,no,no,no,Upright,Nicolas Roeg,Oliver Reed,Amanda Donohoe,Georgina Hale,Frances Barber,Tony Rickards,http://www.imdb.com/title/tt0092732/,http://www.rottentomatoes.com/m/castaway/,92732
Stolen Summer,69,Feature Film,Drama,91,2002,PG,Miramax Films,2384,36,Rotten,no,no,no,no,no,no,Upright,Pete Jones,Aidan Quinn,Bonnie Hunt,Adiel Stein,Kevin Pollak,Adi Stein,http://www.imdb.com/title/tt0286162/,http://www.rottentomatoes.com/m/stolen_summer/,286162
Max Dugan Returns,68,Feature Film,Drama,98,1983,PG,Fox,2582,75,Fresh,no,no,no,no,no,no,Upright,Herbert Ross,Marsha Mason,Jason Robards,Donald Sutherland,Matthew Broderick,Dody Goodman,http://www.imdb.com/title/tt0085919/,http://www.rottentomatoes.com/m/max_dugan_returns/,85919
The Hobbit: The Battle of the Five Armies,75,Feature Film,Action & Adventure,144,2014,R,Warner Bros.,307319,60,Fresh,no,no,no,no,yes,no,Upright,Peter Jackson,Martin Freeman (II),Ian McKellen,Richard Armitage,Ian Holm,Elijah Wood,http://www.imdb.com/title/tt2310332/,http://www.rottentomatoes.com/m/the_hobbit_the_battle_of_the_five_armies/,2310332
Pirates of the Caribbean: The Curse of the Black Pearl,86,Feature Film,Action & Adventure,143,2003,PG-13,Buena Vista Pictures,745393,79,Certified Fresh,no,no,yes,no,no,yes,Upright,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,http://www.imdb.com/title/tt0325980/,http://www.rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl/,325980
DragonHeart,60,Feature Film,Drama,103,1996,PG-13,MCA Universal Home Video,75283,50,Rotten,no,no,no,yes,no,no,Upright,Rob Cohen,Dennis Quaid,David Thewlis,Pete Postlethwaite,Dina Meyer,Julie Christie,http://www.imdb.com/title/tt0116136/,http://www.rottentomatoes.com/m/dragonheart/,116136
The Englishman Who Went Up a Hill But Came Down a Mountain,54,Feature Film,Comedy,99,1995,PG,Miramax,12929,58,Rotten,no,no,no,no,no,no,Spilled,Christopher Monger,Hugh Grant,Tara Fitzgerald,Colm Meaney,Ian McNeice,Ian Hart,http://www.imdb.com/title/tt0112966/,http://www.rottentomatoes.com/m/englishman_who_went_up_a_hill_but_came_down_a_mountain/,112966
The Crying Game,78,Feature Film,Drama,112,1992,R,Live Home Video,39665,97,Certified Fresh,yes,no,yes,no,no,no,Upright,Neil Jordan,Stephen Rea,Jaye Davidson,Miranda Richardson,Forest Whitaker,Jim Broadbent,http://www.imdb.com/title/tt0104036/,http://www.rottentomatoes.com/m/crying_game/,104036
Red Corner,48,Feature Film,Drama,122,1997,R,MGM Home Entertainment,12491,32,Rotten,no,no,no,no,no,no,Spilled,Jon Avnet,Richard Gere,Ling Bai,Bradley Whitford,Byron Mann,Peter Donat,http://www.imdb.com/title/tt0119994/,http://www.rottentomatoes.com/m/red_corner/,119994
The Rugrats Movie,50,Feature Film,Other,79,1998,G,Paramount Pictures,13093,59,Rotten,no,no,no,no,no,no,Spilled,Norton Virgien,Elizabeth Daily,E.G. Daily,Christine Cavanaugh,Melanie Chartoff,Cheryl Chase,http://www.imdb.com/title/tt0134067/,http://www.rottentomatoes.com/m/rugrats_movie/,134067
Zulu Dawn,63,Feature Film,Drama,117,1979,PG,Tango Entertainment,4654,57,Rotten,no,no,yes,no,no,no,Upright,Douglas Hickox,Burt Lancaster,Peter O'Toole,Simon Ward,John Mills,Nigel Davenport,http://www.imdb.com/title/tt0080180/,http://www.rottentomatoes.com/m/zulu_dawn/,80180
RoboCop 3,14,Feature Film,Action & Adventure,104,1993,PG-13,MGM,32798,3,Rotten,no,no,no,no,no,no,Spilled,Fred Dekker,Robert John Burke,Nancy Allen,Rip Torn,John Castle,Jill Hennessy,http://www.imdb.com/title/tt0107978/,http://www.rottentomatoes.com/m/robocop_3/,107978
Catch and Release,55,Feature Film,Drama,124,2006,PG-13,Sony Pictures Entertainment,17910,21,Rotten,no,no,no,no,no,no,Spilled,Susannah Grant,Jennifer Garner,Timothy Olyphant,Sam Jaeger,Kevin Smith,Juliette Lewis,http://www.imdb.com/title/tt0395495/,http://www.rottentomatoes.com/m/catch_and_release/,395495
Kung Pow: Enter the Fist,68,Feature Film,Action & Adventure,81,2002,PG-13,20th Century Fox,36310,11,Rotten,no,no,no,no,no,no,Upright,Steve Oedekerk,Steve Oedekerk,Fei Lung,Lung Fai,Jennifer Tung,Leo Lee,http://www.imdb.com/title/tt0240468/,http://www.rottentomatoes.com/m/kung_pow/,240468
Under African Skies,92,Documentary,Other,108,2012,Unrated,IFC Films,364,100,Fresh,no,no,no,no,no,no,Upright,Joe Berlinger,Paul Simon,Hugh Masekela,Ray Phiri,Miriam Makeba,Okyerema Asante,http://www.imdb.com/title/tt2112868/,http://www.rottentomatoes.com/m/under_african_skies/,2112868
Wild at Heart,81,Feature Film,Drama,125,1990,R,Media Home Entertainment,57776,65,Fresh,no,no,yes,no,no,no,Upright,David Lynch,Nicolas Cage,Laura Dern,Willem Dafoe,Diane Ladd,J.E. Freeman,http://www.imdb.com/title/tt0100935/,http://www.rottentomatoes.com/m/wild_at_heart/,100935
The Hangover Part II,52,Feature Film,Comedy,102,2011,R,Warner Bros. Pictures,351233,34,Rotten,no,no,no,no,no,no,Spilled,Todd Phillips,Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,Ken Jeong,http://www.imdb.com/title/tt1411697/,http://www.rottentomatoes.com/m/the_hangover_2/,1411697
Protocol,38,Feature Film,Comedy,96,1984,PG,Warner Home Video,3317,14,Rotten,no,no,no,no,no,no,Spilled,Herbert Ross,Goldie Hawn,Chris Sarandon,Richard Romanus,Andre Gregory,Gail Strickland,http://www.imdb.com/title/tt0087951/,http://www.rottentomatoes.com/m/protocol/,87951
"Corrina, Corrina",69,Feature Film,Drama,115,1994,PG,Turner Home Entertainment,9530,35,Rotten,no,no,no,no,no,no,Upright,Jessie Nelson,Whoopi Goldberg,Ray Liotta,Tina Majorino,Wendy Crewson,John Cusack,http://www.imdb.com/title/tt0109484/,http://www.rottentomatoes.com/m/corrina_corrina/,109484
No Small Affair,33,Feature Film,Comedy,102,1984,PG,Sony Pictures Home Entertainment,1432,67,Fresh,no,no,no,no,no,no,Spilled,Jerry Schatzberg,Jon Cryer,Demi Moore,George Wendt,Peter Frechette,Elizabeth Daily,http://www.imdb.com/title/tt0087810/,http://www.rottentomatoes.com/m/no_small_affair/,87810
Man on Wire,87,Documentary,Documentary,94,2008,PG-13,Magnolia Pictures,35989,100,Certified Fresh,no,no,no,no,no,no,Upright,James Marsh,Philippe Petit,Alan Welner,Annie Allix,Jim Moore,Jean Francois Heckel,http://www.imdb.com/title/tt1155592/,http://www.rottentomatoes.com/m/man_on_wire/,1155592
